,valid,gain,pm,bw,fom
17354,1,3.4927,3.3342877777777775,4.769229999999999,55.783922176806875
78388,1,1.19160547,0.5128988888888889,2.08829,21.707877390584652
71813,1,2.57007,3.9338655555555557,1.08321,18.775890621251317
17779,1,3.46964,0.9978433333333333,2.3197900000000002,27.52353906569576
27474,1,2.7545699999999997,0.5050322222222222,15.56871,158.366157287918
6849,1,1.906824,0.38271000000000005,3.16664,33.13244653236243
13051,1,1.9800620000000002,2.9993322222222223,11.49911,120.73162768791799
81337,1,1.8592590000000002,3.5524544444444444,1.27218,19.20235964347354
2912,1,2.024936,2.7048144444444446,1.39168,19.239948043473536
34262,1,1.018107,1.095677777777778,0.658485,8.550471776806875
92514,1,1.9056130000000002,0.6678211111111111,3.43296,36.25037111014021
6190,1,3.3234500000000002,1.6672233333333333,5.24543,57.67551906569577
19706,1,1.688943,2.8902133333333335,0.0500048,5.716642665695764
65578,1,1.9670260000000002,3.8192544444444443,1.3246200000000001,20.28296004347354
46897,1,1.2312569,2.5392844444444447,4.84199,52.52578512347355
43044,1,1.1440231,3.3772322222222226,0.707683,12.541839567917986
97825,1,2.97923,0.2428766666666668,3.05412,33.0704003990291
72223,1,1.2330332000000002,0.09401000000000008,2.58268,26.022377572362426
20652,1,2.68001,0.3922655555555556,2.03066,22.71575862125132
29415,1,2.082462,2.7644677777777775,2.72057,32.69332457680687
39048,1,2.079859,2.516088888888889,2.35223,28.609394754584653
99197,1,3.52007,3.2076544444444446,10.03591,108.28095284347354
73543,1,3.11286,1.6937155555555556,1.22309,17.241798621251316
4968,1,1.476531,2.0063523333333335,2.12908,24.838322665695767
41025,1,3.28803,0.6700766666666665,4.59598,49.5430803990291
71126,1,1.1892986200000002,2.7094022222222223,0.16987000000000002,6.040850943917985
16449,1,1.1012095000000002,1.1790711111111112,1.1053300000000001,13.052628110140208
3963,1,2.41307,0.19343222222222217,2.00615,21.83219728791798
14137,1,1.2151816000000002,2.20552,0.159538,5.14795165236243
92951,1,2.72459,2.56488,1.26221,18.56093773236243
82047,1,2.69646,2.2215277777777778,1.3072300000000001,18.428018176806876
38357,1,1.8194620000000001,2.976648888888889,0.0597441,6.108955354584652
54880,1,2.96217,2.392117777777778,0.20392500000000002,7.986764176806875
39834,1,2.46942,1.446428888888889,0.717935,11.022461954584653
51413,1,1.9779010000000001,2.577515555555556,0.295194,8.014967821251318
87110,1,2.4372200000000004,1.4276177777777779,0.208423,5.858604176806875
95159,1,1.982514,0.9892455555555556,1.7824600000000002,20.35193142125132
43306,1,3.3511100000000003,2.38632,0.89481,15.35306573236243
71725,1,3.33956,1.1028255555555555,1.36583,17.99581462125132
42773,1,2.8580799999999997,3.093386666666667,1.7669300000000001,24.613936399029097
66437,1,3.30904,3.7657877777777777,11.12481,119.80973017680688
99492,1,2.1081480000000004,0.12400999999999988,4.73119,48.60561533236244
79068,1,2.5658700000000003,2.303115555555556,4.7516099999999994,52.845650621251316
4045,1,1.8463640000000001,2.715727777777778,8.60709,91.19722297680687
9563,1,1.2470657,0.6766544444444443,3.11493,32.29394768347355
62747,1,3.49227,1.1966488888888889,12.84671,133.13798395458468
31944,1,1.2202913000000002,1.5395044444444443,10.73681,109.86117840347355
36229,0,1.19531,2.00001,1e-05,3.2000097323624304
